Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_HandSoldering",59.867800,-157.708600,90.000000,top
"C2","1uF","C_0805_HandSoldering",66.357500,-147.574000,270.000000,top
"C3","100nF","C_0805_HandSoldering",88.011000,-143.802100,90.000000,top
"C4","100nF","C_0805_HandSoldering",112.077500,-143.637000,90.000000,top
"J1","Conn_01x03","Pin_Header_Angled_1x03_Pitch2.54mm",105.664000,-117.983000,0.000000,top
"J2","Conn_01x20","PinSocket_1x20_P2.54mm_Vertical",63.881000,-130.759200,90.000000,top
"J3","Conn_01x20","PinSocket_1x20_P2.54mm_Vertical",63.881000,-110.439200,90.000000,top
"J4","Conn_01x02","Pin_Header_Straight_1x02_Pitch2.54mm",57.797700,-121.183400,180.000000,top
"J5","c64-cartridge-passthru","EXPANSION_PORT",60.350400,-100.952300,0.000000,top
"J6","c64-cartridge","c64-cartridge",85.432900,-159.118300,0.000000,top
"U1","TLV74333PDBVR","SOT-23-5_HandSoldering",61.518800,-150.202900,90.000000,top
"U2","SN74CBTD16211","TSSOP-56_6.1x14mm_P0.5mm",77.986400,-144.183100,90.000000,top
"U3","SN74CBTD16211","TSSOP-56_6.1x14mm_P0.5mm",101.986400,-144.183100,90.000000,top
